name,pitch,tol,dMajorMax,dMajorMin,dPitchMax,dPitchMin,dMinorMax,dMinorMin
M1.6 x 0.35,0.35,6G,1.581,1.496,1.354,1.291,1.202,1.075
M1.6 x 0.3,0.3,6G,1.582,1.507,1.387,1.342,1.257,1.157
M1.6 x 0.2,0.2,6G,1.583,1.527,1.453,1.403,1.366,1.28
M1.7 x 0.35,0.35,6G,1.681,1.596,1.454,1.391,1.302,1.175
M1.8 x 0.35,0.35,6G,1.781,1.696,1.554,1.491,1.402,1.275
M1.8 x 0.2,0.2,6G,1.783,1.727,1.653,1.603,1.566,1.48
M2 x 0.4,0.4,6G,1.981,1.886,1.721,1.654,1.548,1.408
M2 x 0.25,0.25,6G,1.982,1.915,1.82,1.764,1.711,1.61
M2.2 x 0.45,0.45,6G,2.18,2.08,1.888,1.817,1.693,1.54
M2.2 x 0.25,0.25,6G,2.182,2.115,2.02,1.964,1.911,1.81
M2.3 x 0.45,0.45,6G,2.28,2.18,1.988,1.917,1.793,1.64
M2.3 x 0.4,0.4,6G,2.281,2.186,2.021,1.954,1.848,1.708
M2.5 x 0.45,0.45,6G,2.48,2.38,2.188,2.117,1.993,1.84
M2.5 x 0.35,0.35,6G,2.481,2.396,2.254,2.191,2.102,1.975
M2.6 x 0.45,0.45,6G,2.58,2.48,2.288,2.217,2.093,1.94
M3 x 0.5,0.5,6G,2.98,2.874,2.655,2.58,2.439,2.272
M3 x 0.35,0.35,6G,2.981,2.896,2.754,2.687,2.602,2.471
M3.5 x 0.6,0.6,6G,3.479,3.354,3.089,3.004,2.829,2.635
M3.5 x 0.35,0.35,6G,3.481,3.396,3.254,3.187,3.102,2.971
M4 x 0.7,0.7,6G,3.978,3.838,3.523,3.433,3.22,3.002
M4 x 0.5,0.5,6G,3.98,3.874,3.655,3.58,3.439,3.272
M4.5 x 0.75,0.75,6G,4.478,4.338,3.991,3.901,3.666,3.439
M4.5 x 0.5,0.5,6G,4.48,4.374,4.155,4.08,3.939,3.772
M5 x 0.8,0.8,6G,4.976,4.826,4.456,4.361,4.11,3.869
M5 x 0.5,0.5,6G,4.98,4.874,4.655,4.58,4.439,4.272
M5.5 x 0.5,0.5,6G,5.48,5.374,5.155,5.065,4.939,4.757
M6 x 1,1,6G,5.974,5.794,5.324,5.212,4.891,4.596
M6 x 0.8,0.8,6G,5.976,5.826,5.456,5.376,5.11,4.884
M6 x 0.75,0.75,6G,5.978,5.838,5.491,5.391,5.166,4.929
M6 x 0.7,0.7,6G,5.978,5.838,5.523,5.428,5.22,4.997
M6 x 0.5,0.5,6G,5.98,5.874,5.655,5.57,5.439,5.262
M7 x 1,1,6G,6.974,6.794,6.324,6.212,5.891,5.596
M7 x 0.75,0.75,6G,6.978,6.838,6.491,6.391,6.166,5.929
M7 x 0.5,0.5,6G,6.98,6.874,6.655,6.57,6.439,6.262
M8 x 1.25,1.25,6G,7.972,7.76,7.16,7.042,6.619,6.272
M8 x 1,1,6G,7.974,7.794,7.324,7.212,6.891,6.596
M8 x 0.8,0.8,6G,7.976,7.826,7.456,7.35,7.11,6.858
M8 x 0.75,0.75,6G,7.978,7.838,7.491,7.391,7.166,6.929
M8 x 0.5,0.5,6G,7.98,7.874,7.655,7.57,7.439,7.262
M9 x 1.25,1.25,6G,8.972,8.76,8.16,8.042,7.619,7.272
M9 x 1,1,6G,8.974,8.794,8.324,8.212,7.891,7.596
M9 x 0.75,0.75,6G,8.978,8.838,8.491,8.391,8.166,7.929
M9 x 0.5,0.5,6G,8.98,8.874,8.655,8.57,8.439,8.262
M10 x 1.5,1.5,6G,9.968,9.732,8.994,8.862,8.344,7.938
M10 x 1.25,1.25,6G,9.972,9.76,9.16,9.042,8.619,8.272
M10 x 1.12,1.12,6G,9.973,9.783,9.246,9.128,8.761,8.438
M10 x 1,1,6G,9.974,9.794,9.324,9.212,8.891,8.596
M10 x 0.75,0.75,6G,9.978,9.838,9.491,9.391,9.166,8.929
M10 x 0.5,0.5,6G,9.98,9.874,9.655,9.57,9.439,9.262
M11 x 1.5,1.5,6G,10.968,10.732,9.994,9.862,9.344,8.938
M11 x 1,1,6G,10.974,10.794,10.324,10.212,9.891,9.596
M11 x 0.75,0.75,6G,10.978,10.838,10.491,10.391,10.166,9.929
M11 x 0.5,0.5,6G,10.98,10.874,10.655,10.57,10.439,10.262
M12 x 1.75,1.75,6G,11.966,11.701,10.829,10.679,10.072,9.601
M12 x 1.5,1.5,6G,11.968,11.732,10.994,10.854,10.344,9.93
M12 x 1.25,1.25,6G,11.972,11.76,11.16,11.028,10.619,10.258
M12 x 1,1,6G,11.974,11.794,11.324,11.206,10.891,10.59
M12 x 0.75,0.75,6G,11.978,11.838,11.491,11.385,11.166,10.923
M12 x 0.5,0.5,6G,11.98,11.874,11.655,11.565,11.439,11.257
M14 x 2,2,6G,13.962,13.682,12.663,12.503,11.797,11.271
M14 x 1.5,1.5,6G,13.968,13.732,12.994,12.854,12.344,11.93
M14 x 1.25,1.25,6G,13.972,13.76,13.16,13.028,12.619,12.258
M14 x 1,1,6G,13.974,13.794,13.324,13.206,12.891,12.59
M14 x 0.75,0.75,6G,13.978,13.838,13.491,13.385,13.166,12.923
M14 x 0.5,0.5,6G,13.98,13.874,13.655,13.565,13.439,13.257
M15 x 1.5,1.5,6G,14.968,14.732,13.994,13.854,13.344,12.93
M15 x 1,1,6G,14.974,14.794,14.324,14.206,13.891,13.59
M16 x 2,2,6G,15.962,15.682,14.663,14.503,13.797,13.271
M16 x 1.6,1.6,6G,15.968,15.756,14.929,14.824,14.236,13.838
M16 x 1.5,1.5,6G,15.968,15.732,14.994,14.854,14.344,13.93
M16 x 1.25,1.25,6G,15.972,15.76,15.16,15.028,14.619,14.258
M16 x 1,1,6G,15.974,15.794,15.324,15.206,14.891,14.59
M16 x 0.75,0.75,6G,15.978,15.838,15.491,15.385,15.166,14.923
M16 x 0.5,0.5,6G,15.98,15.874,15.655,15.565,15.439,15.257
M17 x 1.5,1.5,6G,16.968,16.732,15.994,15.854,15.344,14.93
M17 x 1,1,6G,16.974,16.794,16.324,16.206,15.891,15.59
M18 x 2.5,2.5,6G,17.958,17.623,16.334,16.164,15.252,14.624
M18 x 2,2,6G,17.962,17.682,16.663,16.503,15.797,15.271
M18 x 1.5,1.5,6G,17.968,17.732,16.994,16.854,16.344,15.93
M18 x 1.25,1.25,6G,17.972,17.76,17.16,17.028,16.619,16.258
M18 x 1,1,6G,17.974,17.794,17.324,17.206,16.891,16.59
M18 x 0.75,0.75,6G,17.978,17.838,17.491,17.385,17.166,16.923
M18 x 0.5,0.5,6G,17.98,17.874,17.655,17.565,17.439,17.257
M20 x 2.5,2.5,6G,19.958,19.623,18.334,18.164,17.252,16.624
M20 x 2,2,6G,19.962,19.682,18.663,18.503,17.797,17.271
M20 x 1.5,1.5,6G,19.968,19.732,18.994,18.854,18.344,17.93
M20 x 1,1,6G,19.974,19.794,19.324,19.206,18.891,18.59
M20 x 0.75,0.75,6G,19.978,19.838,19.491,19.385,19.166,18.923
M20 x 0.5,0.5,6G,19.98,19.874,19.655,19.565,19.439,19.257
M22 x 3,3,6G,21.952,21.577,20.003,19.818,18.704,17.97
M22 x 2.5,2.5,6G,21.958,21.623,20.334,20.164,19.252,18.624
M22 x 2,2,6G,21.962,21.682,20.663,20.503,19.797,19.271
M22 x 1.5,1.5,6G,21.968,21.732,20.994,20.854,20.344,19.93
M22 x 1,1,6G,21.974,21.794,21.324,21.206,20.891,20.59
M22 x 0.75,0.75,6G,21.978,21.838,21.491,21.385,21.166,20.923
M22 x 0.5,0.5,6G,21.98,21.874,21.655,21.565,21.439,21.257
M24 x 3,3,6G,23.952,23.577,22.003,21.803,20.704,19.955
M24 x 2.5,2.5,6G,23.958,23.623,22.334,22.144,21.252,20.604
M24 x 2,2,6G,23.962,23.682,22.663,22.493,21.797,21.261
M24 x 1.5,1.5,6G,23.968,23.732,22.994,22.844,22.344,21.92
M24 x 1,1,6G,23.974,23.794,23.324,23.199,22.891,22.583
M24 x 0.75,0.75,6G,23.978,23.838,23.491,23.379,23.166,22.917
M25 x 2,2,6G,24.962,24.682,23.663,23.493,22.797,22.261
M25 x 1.5,1.5,6G,24.968,24.732,23.994,23.844,23.344,22.92
M25 x 1,1,6G,24.974,24.794,24.324,24.199,23.891,23.583
M26 x 1.5,1.5,6G,25.968,25.732,24.994,24.844,24.344,23.92
M27 x 3,3,6G,26.952,26.577,25.003,24.803,23.704,22.955
M27 x 2,2,6G,26.962,26.682,25.663,25.493,24.797,24.261
M27 x 1.5,1.5,6G,26.968,26.732,25.994,25.844,25.344,24.92
M27 x 1,1,6G,26.974,26.794,26.324,26.199,25.891,25.583
M27 x 0.75,0.75,6G,26.978,26.838,26.491,26.379,26.166,25.917
M28 x 2,2,6G,27.962,27.682,26.663,26.493,25.797,25.261
M28 x 1.5,1.5,6G,27.968,27.732,26.994,26.844,26.344,25.92
M28 x 1,1,6G,27.974,27.794,27.324,27.199,26.891,26.583
M30 x 3.5,3.5,6G,29.947,29.522,27.674,27.462,26.158,25.306
M30 x 3,3,6G,29.952,29.577,28.003,27.803,26.704,25.955
M30 x 2.5,2.5,6G,29.958,29.623,28.334,28.144,27.252,26.604
M30 x 2,2,6G,29.962,29.682,28.663,28.493,27.797,27.261
M30 x 1.5,1.5,6G,29.968,29.732,28.994,28.844,28.344,27.92
M30 x 1,1,6G,29.974,29.794,29.324,29.199,28.891,28.583
M30 x 0.75,0.75,6G,29.978,29.838,29.491,29.379,29.166,28.917
M32 x 2,2,6G,31.962,31.682,30.663,30.493,29.797,29.261
M32 x 1.5,1.5,6G,31.968,31.732,30.994,30.844,30.344,29.92
M33 x 3.5,3.5,6G,32.968,32.543,30.695,30.483,29.179,28.327
M33 x 3,3,6G,32.952,32.577,31.003,30.803,29.704,28.955
M33 x 2,2,6G,32.962,32.682,31.663,31.493,30.797,30.261
M33 x 1.5,1.5,6G,32.968,32.732,31.994,31.844,31.344,30.92
M33 x 1,1,6G,32.974,32.794,32.324,32.199,31.891,31.583
M33 x 0.75,0.75,6G,32.978,32.838,32.491,32.379,32.166,31.917
M35 x 1.5,1.5,6G,34.968,34.732,33.994,33.844,33.344,33.92
M36 x 4,4,6G,35.94,35.465,33.342,33.118,31.61,30.654
M36 x 3,3,6G,35.952,35.577,34.003,33.803,32.704,31.955
M36 x 2,2,6G,35.962,35.682,34.663,34.493,33.797,33.261
M36 x 1.5,1.5,6G,35.968,35.732,34.994,34.844,34.344,33.92
M36 x 1,1,6G,35.974,35.794,35.324,35.199,34.891,34.583
M38 x 1.5,1.5,6G,37.968,37.732,36.994,36.844,36.344,35.92
M39 x 4,4,6G,38.94,38.465,36.342,36.118,34.61,33.654
M39 x 3,3,6G,38.952,38.577,37.003,36.803,35.704,34.955
M39 x 2,2,6G,38.962,38.682,37.663,37.493,36.797,36.261
M39 x 1.5,1.5,6G,38.968,38.732,37.994,37.844,37.344,36.92
M39 x 1,1,6G,38.974,38.794,38.324,38.199,37.891,37.583
M40 x 3,3,6G,39.952,39.577,38.003,37.803,36.704,35.955
M40 x 2.5,2.5,6G,39.958,39.623,38.334,38.144,37.252,36.604
M40 x 2,2,6G,39.962,39.682,38.663,38.493,37.797,37.261
M40 x 1.5,1.5,6G,39.968,39.732,38.994,38.844,38.344,37.92
M42 x 4.5,4.5,6G,41.937,41.437,39.014,38.778,37.066,36.006
M42 x 4,4,6G,41.94,41.465,39.342,39.118,37.61,36.654
M42 x 3,3,6G,41.952,41.577,40.003,39.803,38.704,37.955
M42 x 2,2,6G,41.962,41.682,40.663,40.493,39.797,39.261
M42 x 1.5,1.5,6G,41.968,41.732,40.994,40.844,40.344,39.92
M42 x 1,1,6G,41.974,41.794,41.324,41.199,40.891,40.583
M45 x 4.5,4.5,6G,44.937,44.437,42.014,41.778,40.066,39.006
M45 x 4,4,6G,44.94,44.465,42.342,42.118,40.61,39.654
M45 x 3,3,6G,44.952,44.577,43.003,42.803,41.704,40.955
M45 x 2,2,6G,44.962,44.682,43.663,43.493,42.797,42.261
M45 x 1.5,1.5,6G,44.968,44.732,43.994,43.844,43.344,42.92
M45 x 1,1,6G,44.974,44.794,44.324,44.199,43.891,43.583
M48 x 5,5,6G,47.929,47.399,44.681,44.431,42.516,41.351
M48 x 4,4,6G,47.94,47.465,45.342,45.106,43.61,42.642
M48 x 3,3,6G,47.952,47.577,46.003,45.791,44.704,43.943
M48 x 2,2,6G,47.962,47.682,46.663,46.483,45.797,45.251
M48 x 1.5,1.5,6G,47.968,47.732,46.994,46.834,46.344,45.91
M50 x 4,4,6G,49.94,49.465,47.342,47.106,45.61,44.642
M50 x 3,3,6G,49.952,49.577,48.003,47.791,46.704,45.943
M50 x 2,2,6G,49.962,49.682,48.663,48.483,47.797,47.251
M50 x 1.5,1.5,6G,49.968,49.732,48.994,48.834,48.344,47.91
M52 x 5,5,6G,51.929,51.399,48.681,48.445,46.516,45.365
M52 x 4,4,6G,51.94,51.465,49.342,49.106,47.61,46.642
M52 x 3,3,6G,51.952,51.577,50.003,49.791,48.704,47.943
M52 x 2,2,6G,51.962,51.682,50.663,50.483,49.797,49.251
M52 x 1.5,1.5,6G,51.968,51.732,50.994,50.834,50.344,49.91
M55 x 4,4,6G,54.94,54.465,52.342,52.106,50.61,49.642
M55 x 3,3,6G,54.952,54.577,53.003,52.791,51.704,50.943
M55 x 2,2,6G,54.962,54.682,53.663,53.483,52.797,52.251
M55 x 1.5,1.5,6G,54.968,54.732,53.994,53.834,53.344,52.91
